Donné image triangle

Auteur: 	 code_complet_seul_axe.py
Date: 		 2022-06-03 12:45:36.765223
Enregitrement d'image: 	 non

LEGENDE: 
V: 	 image trêtée avec sucsess
I: 	 image trêtée avec sucsess mais il y a eu des point parasite détecter donc il y a possibilité d'impresision
W: 	 il y a surment eu des problème de traitement

F: 	 Erreur sur le traitement d'image

V	Id = 0	color_0024.png : 		 Centre:	[[560, 130], [557, 219], [667, 220], [780, 215]]			 axe X: 	[[31, 0], [34, 0], [33, 0], [33, -1]]			 axe Y: 	[[0, -24], [1, -27], [-1, -27], [-3, -27]]
V	Id = 0	color_0025.png : 		 Centre:	[[560, 132], [556, 220], [667, 221], [779, 216]]			 axe X: 	[[32, 0], [33, 0], [33, 0], [32, -1]]			 axe Y: 	[[0, -24], [0, -27], [-2, -27], [-4, -27]]
V	Id = 0	color_0026.png : 		 Centre:	[[559, 132], [555, 220], [665, 221], [778, 216]]			 axe X: 	[[31, 0], [33, -1], [33, -1], [33, -1]]			 axe Y: 	[[0, -24], [0, -27], [-1, -27], [-3, -27]]
V	Id = 0	color_0027.png : 		 Centre:	[[556, 131], [553, 220], [664, 221], [777, 216]]			 axe X: 	[[31, 0], [33, -1], [33, 0], [33, -1]]			 axe Y: 	[[0, -24], [0, -27], [-2, -26], [-3, -27]]
V	Id = 0	color_0028.png : 		 Centre:	[[557, 132], [553, 221], [665, 222], [777, 217]]			 axe X: 	[[32, 0], [33, -1], [32, -1], [33, -1]]			 axe Y: 	[[0, -24], [0, -27], [-2, -27], [-3, -27]]
V	Id = 0	color_0029.png : 		 Centre:	[[556, 131], [552, 219], [664, 220], [777, 216]]			 axe X: 	[[32, 0], [34, -1], [33, -1], [32, 0]]			 axe Y: 	[[0, -24], [1, -27], [-1, -27], [-4, -26]]
V	Id = 0	color_0030.png : 		 Centre:	[[554, 130], [551, 219], [662, 220], [775, 216]]			 axe X: 	[[32, 0], [33, -1], [33, 0], [33, 0]]			 axe Y: 	[[0, -25], [0, -27], [-1, -26], [-3, -26]]
V	Id = 0	color_0031.png : 		 Centre:	[[555, 131], [551, 219], [662, 220], [776, 216]]			 axe X: 	[[32, -1], [33, 0], [33, -1], [32, -1]]			 axe Y: 	[[0, -24], [0, -27], [-2, -27], [-4, -27]]
V	Id = 0	color_0032.png : 		 Centre:	[[555, 129], [552, 218], [663, 219], [775, 215]]			 axe X: 	[[32, 0], [33, 0], [33, -1], [33, -1]]			 axe Y: 	[[0, -24], [0, -27], [-2, -27], [-3, -27]]
V	Id = 0	color_0033.png : 		 Centre:	[[556, 129], [552, 218], [663, 219], [776, 215]]			 axe X: 	[[32, 0], [33, 0], [33, 0], [33, -1]]			 axe Y: 	[[0, -24], [0, -27], [-1, -27], [-3, -27]]
V	Id = 0	color_0034.png : 		 Centre:	[[559, 130], [554, 218], [665, 220], [779, 216]]			 axe X: 	[[31, 0], [34, 0], [32, 0], [32, 0]]			 axe Y: 	[[0, -24], [1, -26], [-2, -26], [-4, -26]]
V	Id = 0	color_0035.png : 		 Centre:	[[558, 129], [555, 218], [666, 220], [779, 216]]			 axe X: 	[[32, 0], [34, -1], [33, -1], [32, 0]]			 axe Y: 	[[0, -25], [1, -27], [-2, -27], [-4, -26]]
V	Id = 0	color_0036.png : 		 Centre:	[[560, 129], [556, 218], [667, 220], [780, 217]]			 axe X: 	[[31, 0], [34, -1], [33, 0], [33, -1]]			 axe Y: 	[[0, -25], [0, -27], [-1, -27], [-3, -27]]
V	Id = 0	color_0037.png : 		 Centre:	[[561, 130], [557, 218], [668, 220], [781, 217]]			 axe X: 	[[31, 0], [33, 0], [32, -1], [32, 0]]			 axe Y: 	[[0, -24], [0, -26], [-2, -27], [-4, -26]]
V	Id = 0	color_0038.png : 		 Centre:	[[562, 127], [557, 215], [669, 218], [782, 214]]			 axe X: 	[[32, 0], [33, 0], [33, -1], [33, -1]]			 axe Y: 	[[1, -25], [0, -27], [-1, -27], [-3, -27]]
V	Id = 0	color_0039.png : 		 Centre:	[[561, 128], [557, 216], [668, 219], [781, 216]]			 axe X: 	[[31, 0], [34, 0], [33, 0], [33, 0]]			 axe Y: 	[[0, -24], [1, -26], [-2, -26], [-3, -27]]
V	Id = 0	color_0040.png : 		 Centre:	[[565, 127], [560, 216], [670, 219], [784, 216]]			 axe X: 	[[32, 0], [33, 0], [33, 0], [33, 0]]			 axe Y: 	[[1, -24], [0, -27], [-1, -26], [-3, -26]]
V	Id = 0	color_0041.png : 		 Centre:	[[566, 126], [561, 216], [672, 218], [786, 216]]			 axe X: 	[[32, 0], [33, 0], [33, -1], [33, -1]]			 axe Y: 	[[0, -24], [0, -27], [-1, -28], [-3, -27]]
V	Id = 0	color_0042.png : 		 Centre:	[[564, 129], [560, 218], [671, 221], [784, 217]]			 axe X: 	[[31, 0], [33, 0], [33, 0], [32, 0]]			 axe Y: 	[[0, -24], [0, -26], [-2, -27], [-4, -27]]
V	Id = 0	color_0043.png : 		 Centre:	[[564, 130], [560, 219], [671, 221], [784, 217]]			 axe X: 	[[32, 0], [33, -1], [33, 0], [33, -1]]			 axe Y: 	[[1, -24], [0, -27], [-2, -27], [-3, -27]]
V	Id = 0	color_0044.png : 		 Centre:	[[564, 131], [560, 220], [671, 222], [784, 218]]			 axe X: 	[[32, 0], [34, -1], [33, 0], [32, 0]]			 axe Y: 	[[0, -25], [1, -27], [-1, -26], [-4, -26]]
V	Id = 0	color_0045.png : 		 Centre:	[[563, 132], [559, 221], [670, 222], [783, 218]]			 axe X: 	[[31, 0], [33, 0], [33, -1], [32, -1]]			 axe Y: 	[[0, -24], [0, -27], [-2, -27], [-4, -27]]
V	Id = 0	color_0046.png : 		 Centre:	[[564, 132], [560, 221], [671, 222], [784, 218]]			 axe X: 	[[32, 0], [33, 0], [33, 0], [32, -1]]			 axe Y: 	[[0, -24], [0, -27], [-2, -26], [-4, -27]]
V	Id = 0	color_0047.png : 		 Centre:	[[565, 133], [561, 222], [672, 223], [785, 219]]			 axe X: 	[[32, 0], [33, 0], [33, -1], [33, 0]]			 axe Y: 	[[0, -24], [0, -27], [-1, -27], [-3, -26]]
V	Id = 0	color_0048.png : 		 Centre:	[[565, 132], [561, 221], [672, 223], [785, 219]]			 axe X: 	[[32, 0], [33, -1], [33, -1], [33, 0]]			 axe Y: 	[[0, -24], [1, -27], [-1, -27], [-3, -26]]
V	Id = 0	color_0049.png : 		 Centre:	[[565, 133], [561, 221], [672, 223], [784, 219]]			 axe X: 	[[32, 0], [33, 0], [32, 0], [33, 0]]			 axe Y: 	[[0, -24], [0, -27], [-2, -26], [-3, -27]]
V	Id = 0	color_0050.png : 		 Centre:	[[566, 133], [562, 222], [673, 223], [785, 220]]			 axe X: 	[[31, -1], [33, -1], [32, -1], [33, 0]]			 axe Y: 	[[0, -24], [0, -27], [-2, -27], [-3, -26]]
V	Id = 0	color_0051.png : 		 Centre:	[[565, 133], [561, 221], [672, 223], [785, 219]]			 axe X: 	[[31, 0], [33, 0], [33, -1], [32, 0]]			 axe Y: 	[[0, -24], [0, -27], [-2, -27], [-4, -26]]
V	Id = 0	color_0052.png : 		 Centre:	[[564, 133], [561, 221], [671, 223], [784, 219]]			 axe X: 	[[31, -1], [33, 0], [33, -1], [33, -1]]			 axe Y: 	[[0, -25], [0, -27], [-1, -27], [-3, -27]]
